"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"fbyj5j85",2,3,1,29,1.5113574148537,5.6682192192599,50,78,NA,0,11,-4.1568618044062,0
"fbyj5j85",2,3,1,30,1.5343144992933,6.54554712065592,50,75,NA,0,11,-5.01123262136262,0
"fbyj5j85",2,3,1,31,1.5343144992933,6.54554712065592,50,75,NA,0,11,-5.01123262136262,0
"fbyj5j85",2,3,1,32,1.5343144992933,6.54554712065592,50,75,NA,0,11,-5.01123262136262,0
"fbyj5j85",2,3,1,33,2.35317610937608,7.42174487374043,75,75,75,1,12,-5.06856876436435,0
"fbyj5j85",2,3,1,34,1.5113574148537,5.74963384454962,50,78,NA,0,12,-4.23827642969592,0
"fbyj5j85",2,3,1,35,1.5343144992933,6.54554712065592,50,75,NA,0,12,-5.01123262136262,0
"fbyj5j85",2,3,1,36,1.5343144992933,6.54554712065592,50,75,NA,0,12,-5.01123262136262,0
"fbyj5j85",2,3,1,37,1.5343144992933,5.78702569711079,50,75,NA,0,12,-4.25271119781749,0
"fbyj5j85",2,3,1,38,1.51895869221912,5.23368230808233,30,75,NA,0,12,-3.71472361586321,0
"fbyj5j85",2,3,1,39,2.2115402360408,6.56168651909915,75,75,75,1,13,-4.35014628305835,0
"fbyj5j85",2,3,1,40,0.747172094331596,4.28273858314923,20,78,NA,0,13,-3.53556648881763,0
"fbyj5j85",2,3,1,41,0.747172094331596,4.28273858314923,20,78,NA,0,13,-3.53556648881763,0
"fbyj5j85",2,3,1,42,1.54268347716238,5.76972786822126,80,78,80,1,14,-4.22704439105888,0
"fbyj5j85",2,3,1,43,1.55606601732596,4.74781198984872,78,77,78,1,15,-3.19174597252276,0
"fbyj5j85",2,3,1,44,0.860058354641288,3.31485518601433,20,50,NA,0,15,-2.45479683137304,0
"fbyj5j85",2,3,1,45,1.73970037338828,3.85422124920452,50,50,50,1,16,-2.11452087581624,0
"fbyj5j85",2,3,1,46,0.758521423545129,3.54192141494133,20,75,NA,0,16,-2.7833999913962,0
